,Src Pt,Dst Pt,Packets,Bytes
271,53410,22,17,2267
272,56818,22,15,2163
273,22,56818,19,3185
274,45313,23,1,46
275,23,45313,1,40
276,37974,22,2,92
277,22,37974,3,132
278,47697,22,12,1811
279,22,47697,14,2721
280,41741,22,4,263
281,22,41741,12,5741
282,18686,22,19,3055
283,22,18686,16,3029
284,13379,22,7,372
285,22,13379,6,467
286,46182,80,1,46
287,80,46182,6,264
288,28370,22,5,262
289,22,28370,5,309
290,33367,22,6,382
291,22,33367,14,6866
292,52088,22,13,1593
293,22,52088,13,2669
294,22,49574,26,3745
295,49574,22,24,2889
296,8000,59585,3,132
297,59585,8000,5,314
298,22,51071,19,3185
299,51071,22,17,2267
300,55735,9981,3,152
301,9981,55735,3,120
302,56116,23,1,46
303,23,56116,1,40
304,29735,2323,1,46
305,2323,29735,1,40
306,56029,19,1,46
307,0,3,2,137
308,38679,520,1,52
309,55640,22,12,1808
310,22,55640,13,2185
311,22,43664,27,3865
312,43664,22,24,2921
313,22,65374,5,1285
314,65374,22,6,340
315,31481,22,15,2163
316,22,31481,19,3185
317,59616,22,3,166
318,22,59616,5,300
319,22,4589,19,3093
320,4589,22,13,2843
321,445,1665,3,120
322,1665,445,3,144
323,22,51379,26,3745
324,51379,22,24,2918
325,50173,22,2,92
326,22,50173,1,44
327,37291,22,27,3307
328,22,37291,30,4057
329,2323,19303,2,80
330,19303,2323,2,92
331,58158,22,15,1739
332,22,58158,15,2677
333,22,50950,19,3185
334,50950,22,17,2267
335,22,1441,18,2985
336,1441,22,13,2843
337,61118,22,7,426
338,22,61118,13,5875
339,36580,22,6,344
340,22,36580,11,5684
341,22,58934,19,3185
342,58934,22,15,2163
343,22,39371,20,3249
344,39371,22,17,2277
345,5358,20240,1,40
346,20240,5358,1,46
347,22,59323,17,3081
348,59323,22,14,2111
349,17417,22,9,1789
350,22,17417,12,4605
351,57171,22,2,106
352,22,57171,5,300
353,22,53674,19,3185
354,53674,22,15,2163
355,52728,22,5,346
356,22,52728,12,7763
357,47960,22,7,459
358,22,47960,6,1419
359,28678,80,1,46
360,80,28678,6,264
361,22,35331,26,3745
362,35331,22,24,2901
363,23464,22,3,179
364,22,23464,10,6630
365,7777,19142,1,46
366,19142,7777,1,40
367,6056,5060,1,442
368,0,3,1,470
369,22,61914,26,3745
370,61914,22,24,2889
371,22,35283,19,3185
372,35283,22,17,2267
373,35399,22,17,2267
374,22,35399,19,3185
375,22,39509,19,3185
376,39509,22,19,2371
377,46324,22,17,2137
378,22,46324,21,3357
379,22,30912,26,3745
380,30912,22,24,2921
381,8830,23,1,46
382,23,8830,1,40
383,50280,22,13,1609
384,22,50280,13,2669
385,31940,22,26,3022
386,22,31940,26,3745
387,52097,22,6,314
388,22,52097,7,473
389,45259,2375,1,46
390,2375,45259,1,40
391,22,48119,19,3185
392,48119,22,17,2267
393,22,60598,19,3185
394,60598,22,15,2163
395,36090,22,17,2451
396,22,36090,22,4341
397,22,60389,31,4193
398,60389,22,29,3397
399,22,49122,19,3185
400,49122,22,17,2267
401,8000,57463,7,556
402,57463,8000,6,515
403,22,57367,19,3185
404,57367,22,15,2179
405,8000,49371,7,556
406,49371,8000,6,515
407,8000,50397,7,556
408,50397,8000,6,515
409,8000,54969,7,556
410,54969,8000,6,515
411,51285,23,1,46
412,23,51285,1,40
413,22,39451,19,3185
414,39451,22,15,2163
415,22,44673,19,3185
416,44673,22,17,2267
417,22,37207,19,3185
418,37207,22,20,2423
419,64698,23,1,46
420,23,64698,1,40
421,47331,22,7,389
422,22,47331,12,7561
423,22,40412,19,3185
424,40412,22,15,2163
425,37558,1900,1,122
426,0,3,1,150
427,40011,22,12,1872
428,22,40011,14,2529
429,46983,22,17,1988
430,22,46983,23,3545
431,49214,3392,2,92
432,3392,49214,1,40
433,22,32993,5,1285
434,32993,22,6,340
435,64651,7547,1,46
436,7547,64651,1,40
437,22,1779,18,2985
438,1779,22,15,2871
439,8000,54970,7,702
440,54970,8000,6,586
441,8000,57464,7,702
442,57464,8000,6,586
443,84,80,3,138
444,80,84,7,308
445,8000,49372,7,702
446,49372,8000,6,586
447,8000,50398,7,702
448,50398,8000,6,586
449,46485,22,4,255
450,22,46485,4,265
451,2501,445,3,144
452,445,2501,3,120
453,22,36651,19,3185
454,36651,22,17,2267
455,22,29802,26,3745
456,29802,22,24,2918
457,4932,23,1,46
458,23,4932,1,40
459,22,51200,19,3185
460,51200,22,15,2163
461,2222,61021,1,40
462,61021,2222,1,46
463,22,33049,19,3185
464,33049,22,17,2267
465,23176,7547,1,46
466,7547,23176,1,40
467,42573,22,15,2163
468,22,42573,20,4085
469,39623,22,13,1593
470,22,39623,13,2669
471,22,10690,26,3745
472,10690,22,24,2899
473,22,45392,19,3185
474,45392,22,17,2267
475,10021,22,6,359
476,22,10021,5,2302
477,40295,22,17,2267
478,22,40295,19,3185
479,56370,22,12,1824
480,22,56370,13,2185
481,28677,23,1,46
482,23,28677,1,40
483,8000,50190,7,556
484,50190,8000,6,515
485,8000,50191,7,702
486,50191,8000,6,586
487,8000,57145,7,556
488,57145,8000,6,515
489,8000,57146,7,702
490,57146,8000,6,586
491,8000,62543,7,556
492,62543,8000,6,515
493,8000,62544,7,702
494,62544,8000,6,586
495,8000,63896,7,556
496,63896,8000,6,515
497,8000,63897,7,702
498,63897,8000,6,586
499,8000,57746,7,556
500,57746,8000,6,515
501,8000,57747,7,702
502,57747,8000,6,586
503,8000,62239,7,556
504,62239,8000,6,515
505,8000,55602,7,556
506,55602,8000,6,515
507,8000,55603,7,702
508,55603,8000,6,586
509,8000,56745,7,556
510,56745,8000,6,515
511,8000,56746,7,702
512,56746,8000,6,586
513,8000,56747,2,92
514,56747,8000,4,190
515,8000,63069,7,556
516,63069,8000,6,515
517,8000,63070,7,702
518,63070,8000,6,586
519,8000,56175,7,556
520,56175,8000,6,515
521,8000,56176,7,702
522,56176,8000,6,586
523,8000,56177,2,92
524,56177,8000,4,190
525,8000,57209,7,556
526,57209,8000,6,515
527,8000,57210,7,702
528,57210,8000,6,586
529,8000,58241,7,556
530,58241,8000,6,515
531,8000,58242,7,702
532,58242,8000,6,586
533,8000,59294,7,556
534,59294,8000,6,515
535,8000,59295,7,702
536,59295,8000,6,586
537,8000,59296,2,92
538,59296,8000,4,190
539,8000,60326,7,556
540,60326,8000,6,515
541,8000,60327,7,702
542,60327,8000,6,586
543,8000,61358,7,556
544,61358,8000,6,515
545,8000,61360,7,702
546,61360,8000,6,586
547,8000,61359,2,92
548,61359,8000,4,190
549,8000,62393,7,556
550,62393,8000,6,515
551,8000,62394,7,702
552,62394,8000,6,586
553,8000,63425,7,556
554,63425,8000,6,515
555,8000,63426,7,702
556,63426,8000,6,586
557,8000,64456,7,556
558,64456,8000,6,515
559,8000,64457,7,702
560,64457,8000,6,586
561,8000,64458,2,92
562,64458,8000,4,190
563,8000,65488,7,556
564,65488,8000,6,515
565,8000,65489,7,702
566,65489,8000,6,586
567,8000,65490,2,92
568,65490,8000,4,190
569,8000,50180,7,556
570,50180,8000,6,515
571,8000,50181,7,702
572,50181,8000,5,540
573,8000,50182,2,92
574,50182,8000,4,190
575,8000,51221,7,556
576,51221,8000,6,515
577,8000,51222,7,702
578,51222,8000,6,586
579,8000,52255,7,556
580,52255,8000,6,515
581,8000,52256,7,702
582,52256,8000,6,586
583,8000,52257,2,92
584,52257,8000,4,190
585,8000,53285,7,556
586,53285,8000,6,515
587,8000,53286,7,702
588,53286,8000,6,586
589,49487,22,7,1029
590,22,49487,9,4421
591,29350,22,24,2918
592,22,29350,26,3745
593,445,3650,3,120
594,3650,445,3,144
595,1952,22,25,3019
596,22,1952,27,3809
597,8000,57748,2,92
598,57748,8000,4,190
599,8000,62240,7,702
600,62240,8000,6,586
601,8000,62241,2,92
602,62241,8000,4,190
603,8000,55604,2,92
604,55604,8000,4,190
605,8000,63071,2,92
606,63071,8000,4,190
607,8000,57211,2,92
608,57211,8000,4,190
609,8000,58243,2,92
610,58243,8000,4,190
611,8000,60328,2,92
612,60328,8000,4,190
613,8000,62395,2,92
614,62395,8000,4,190
615,8000,63427,3,132
616,63427,8000,4,190
617,8000,51223,2,92
618,51223,8000,4,190
619,8000,53287,2,92
620,53287,8000,4,190
621,68,80,1,46
622,80,68,6,264
623,8000,59795,3,132
624,59795,8000,5,314
625,5332,5060,1,443
626,0,3,1,471
627,23,44943,1,40
628,44943,23,1,46
629,43751,5358,1,46
630,5358,43751,1,40
631,52232,22,27,3056
632,22,52232,26,3745
633,35284,22,15,2169
634,22,35284,19,3265
635,63172,80,6,387
636,80,63172,5,779
637,51385,22,28,3276
638,22,51385,28,3873
639,51741,22,6,367
640,22,51741,7,2422
641,49208,22,12,1361
642,22,49208,14,2153
643,57121,22,6,329
644,22,57121,9,4474
645,5254,5060,1,441
646,0,3,1,469
647,21066,22,28,3243
648,22,21066,31,4233
649,4227,80,1,46
650,80,4227,6,264
651,3398,51893,1,40
652,51893,3398,2,92
653,29800,22,5,268
654,22,29800,6,434
655,2650,22,16,3107
656,22,2650,21,3158
657,22,48659,19,3185
658,48659,22,15,2163
659,43992,22,5,285
660,22,43992,11,4672
661,22,54381,20,3249
662,54381,22,17,2267
663,22,47679,19,3185
664,47679,22,17,2267
665,22,51334,19,3185
666,51334,22,15,2163
667,22,13117,26,3745
668,13117,22,26,2993
669,16750,22,26,3016
670,22,16750,27,3865
671,53,52125,1,250
672,52125,53,1,68
673,53,56472,1,129
674,56472,53,1,68
675,443,56356,9,5455
676,56356,443,12,1710
677,39727,23,1,46
678,23,39727,1,40
679,22,56211,19,3185
680,56211,22,18,2335
681,40670,22,17,2267
682,22,40670,19,3185
683,36480,22,26,3036
684,22,36480,26,3745
685,45528,22,12,1586
686,22,45528,12,2545
687,22,52033,19,3185
688,52033,22,18,2319
689,22,53332,19,3185
690,53332,22,15,2163
691,37321,22,7,441
692,22,37321,8,1564
693,41807,22,13,1593
694,22,41807,12,2617
695,27017,22,5,270
696,22,27017,8,604
697,10359,80,1,46
698,80,10359,6,264
699,10188,22,24,2900
700,22,10188,26,3745
701,32595,22,5,292
702,22,32595,11,787
703,22,43504,19,3185
704,43504,22,15,2163
705,22,52204,26,3745
706,52204,22,24,2899
707,16371,22,17,2267
708,22,16371,19,3185
709,53981,22,2,112
710,22,53981,3,180
711,34212,22,24,2916
712,22,34212,26,3745
713,1128,23,1,46
714,23,1128,1,40
715,39187,2323,1,46
716,2323,39187,1,40
717,5065,5060,1,443
718,0,3,1,471
719,22,49250,19,3185
720,49250,22,15,2163
721,11659,22,7,1035
722,22,11659,7,3341
723,22,56805,19,3185
724,56805,22,17,2267
725,46176,6379,1,46
726,6379,46176,1,40
727,44570,110,1,46
728,110,44570,1,40
729,57004,22,12,1808
730,22,57004,14,2517
731,63718,22,5,925
732,22,63718,13,8533
733,23,15652,1,40
734,15652,23,1,46
735,51727,5358,1,46
736,5358,51727,1,40
737,22,53725,19,3185
738,53725,22,15,2163
739,24005,23,1,46
740,23,24005,1,40
741,36516,80,1,46
742,80,36516,6,264
743,42049,22,7,459
744,22,42049,11,5689
745,56928,22,17,2267
746,22,56928,19,3185
747,22,56481,19,3185
748,56481,22,17,2267
749,14343,22,6,377
750,22,14343,6,2354
751,22,41945,5,1285
752,41945,22,6,340
753,0,8,1,46
754,0,0,1,36
755,4144,445,2,96
756,445,4144,2,80
757,16078,623,1,51
758,0,3,1,79
759,40270,22,11,1824
760,22,40270,14,3237
761,58756,22,14,1731
762,22,58756,13,2585
763,60397,22,12,1457
764,22,60397,10,2445
765,10010,8080,1,48
766,8080,10010,1,40
767,22,54647,19,3185
768,54647,22,15,2163
769,59695,22,15,2163
770,22,59695,23,3461
771,12810,2323,1,46
772,2323,12810,1,40
773,1572,2628,1,46
774,2628,1572,1,40
775,18320,22,19,2461
776,22,18320,25,3644
777,36865,22,15,1865
778,22,36865,17,3013
779,49169,80,1,46
780,80,49169,6,264
781,8000,60005,3,132
782,60005,8000,5,314
783,57975,22,18,2423
784,22,57975,23,3462
785,5283,5060,1,437
786,0,3,1,465
787,9568,5050,1,466
788,0,3,1,494
789,37227,22,15,2163
790,22,37227,20,3249
791,58046,5358,1,46
792,5358,58046,1,40
793,45132,23,1,46
794,23,45132,1,40
795,41810,22,5,283
796,22,41810,13,8605
797,22,30898,26,3745
798,30898,22,26,2987
799,22,11397,27,5673
800,11397,22,18,2721
801,22223,5905,1,46
802,5905,22223,1,40
803,22,39244,19,3185
804,39244,22,15,2163
805,22,57772,19,3185
806,57772,22,15,2163
807,19270,22,17,2279
808,22,19270,21,3353
809,55903,55589,2,92
810,55589,55903,1,40
811,22,3277,18,2985
812,3277,22,13,2971
813,22,46346,19,3185
814,46346,22,15,2163
815,46464,23,1,46
816,23,46464,1,40
817,23,37879,1,40
818,37879,23,1,46
819,22,56199,19,3185
820,56199,22,17,2267
821,40521,1900,1,122
822,0,3,1,150
823,22,39488,19,3185
824,39488,22,17,2267
825,52114,22,17,2261
826,22,52114,20,3237
827,37691,22,6,329
828,22,37691,8,4369
829,58768,22,9,501
830,22,58768,11,3581
831,22,17825,5,1285
832,17825,22,6,340
833,22,60723,26,3745
834,60723,22,26,3038
835,33649,23,1,46
836,23,33649,1,40
837,56016,22,29,3328
838,22,56016,28,3873
839,39678,22,28,3124
840,22,39678,26,3745
841,37663,22,4,231
842,22,37663,12,8481
843,4616,22,15,2871
844,22,4616,20,3065
845,49284,22,6,314
846,22,49284,4,281
847,22,36065,20,3237
848,36065,22,16,2203
849,44438,22,16,2223
850,22,44438,20,3245
851,22,44407,26,3745
852,44407,22,26,3022
853,31668,80,1,46
854,80,31668,6,264
855,25424,22,26,3084
856,22,25424,26,3745
857,22,47938,19,3185
858,47938,22,15,2163
859,22,42739,20,3249
860,42739,22,17,2267
861,60853,22,15,2163
862,22,60853,20,4213
863,443,62079,1,46
864,62079,443,1,40
865,49703,22,6,355
866,22,49703,17,8839
867,22,63922,26,3745
868,63922,22,24,2918
869,23920,22,5,268
870,22,23920,4,281
871,63979,22,6,977
872,22,63979,13,8533
873,62110,22,5,268
874,22,62110,5,341
875,22,56030,19,3185
876,56030,22,17,2267
877,52416,5358,1,46
878,5358,52416,1,40
879,58022,22,12,1808
880,22,58022,13,2185
881,8452,22,24,2916
882,22,8452,26,3745
883,22,41293,19,3185
884,41293,22,15,2163
885,22,36626,20,4225
886,36626,22,17,2279
887,35738,22,24,2900
888,22,35738,26,3745
889,22,43066,19,3185
890,43066,22,15,2163
891,19084,22,5,346
892,22,19084,12,7763
893,22,43271,19,3185
894,43271,22,15,2163
895,307,80,3,138
896,80,307,7,308
897,45081,22,17,2267
898,22,45081,19,3185
899,56248,22,26,2987
900,22,56248,26,3745
901,18571,22,28,3276
902,22,18571,30,4097
903,22,41139,19,3185
904,41139,22,17,2267
905,22,53794,19,3185
906,53794,22,20,2423
907,5358,16185,1,40
908,16185,5358,1,46
909,44584,22,16,1833
910,22,44584,15,2841
911,22,54221,19,3185
912,54221,22,17,2267
913,47192,22,17,2273
914,22,47192,21,3353
915,80,134,7,308
916,134,80,3,138
917,38764,22,24,2948
918,22,38764,26,3745
919,23,5197,1,40
920,5197,23,1,46
921,2928,22,24,2900
922,22,2928,26,3745
923,42808,22,17,2267
924,22,42808,19,3185
925,63755,22,24,2921
926,22,63755,26,3745
927,46912,22,15,2163
928,22,46912,19,3185
929,26173,22,5,301
930,22,26173,7,3423
931,22,47974,19,3185
932,47974,22,17,2267
933,45767,22,17,2267
934,22,45767,19,3185
935,52852,23,1,46
936,23,52852,1,40
937,22,18515,5,1285
938,18515,22,6,340
939,22,39045,19,3185
940,39045,22,15,2163
941,22,50897,5,1285
942,50897,22,6,340
943,43456,22,25,3019
944,22,43456,27,3809
945,64274,22,3,179
946,22,64274,12,8481
947,57643,119,1,46
948,119,57643,1,40
949,0,8,1,46
950,0,0,1,32
951,24011,22,2,92
952,22,24011,6,264
953,37742,22,24,2916
954,22,37742,26,3745
955,1461,80,1,46
956,80,1461,6,264
957,22,53815,19,3185
958,53815,22,15,2163
959,28963,5358,1,46
960,5358,28963,1,40
961,8000,60213,3,132
962,60213,8000,5,314
963,21182,22,15,2163
964,22,21182,19,3185
965,22,60237,19,3185
966,60237,22,15,2163
967,46767,22,12,1811
968,22,46767,14,2721
969,57830,22,9,765
970,22,57830,11,1669
971,28970,22,2,92
972,22,28970,1,44
973,42312,22,17,2267
974,22,42312,19,3185
975,22,54059,19,3185
976,54059,22,17,2267
977,22,57037,19,3185
978,57037,22,15,2163
979,43940,22,5,277
980,22,43940,9,6373
981,22,54830,19,3185
982,54830,22,15,2163
983,54264,22,24,2900
984,22,54264,26,3745
985,63241,22,24,2883
986,22,63241,26,3745
987,22,1211,30,4169
988,1211,22,25,3019
989,4301,22,14,2825
990,22,4301,18,2985
991,60547,23,1,46
992,23,60547,1,40
993,15450,22,6,389
994,22,15450,10,1680
995,58784,22,12,1808
996,22,58784,13,2185
997,22,48081,19,3185
998,48081,22,15,2163
999,14146,2323,1,46
1000,2323,14146,1,40
1001,36487,22,12,1345
1002,22,36487,14,2153
1003,22,33869,6,1337
1004,33869,22,9,1121
1005,21544,22,6,329
1006,22,21544,13,8617
1007,6000,2379,1,46
1008,2379,6000,1,40
1009,42184,22,17,1984
1010,22,42184,23,3541
1011,22,33961,19,3185
1012,33961,22,20,2423
1013,22,36382,19,3185
1014,36382,22,18,2319
1015,43109,23,1,46
1016,23,43109,1,40
1017,6727,7547,1,46
1018,7547,6727,1,40
1019,23,51474,1,40
1020,51474,23,1,46
1021,14033,22,6,337
1022,22,14033,9,2534
1023,5156,5060,1,443
1024,0,3,1,471
1025,28899,23,1,46
1026,23,28899,1,40
1027,59473,80,1,46
1028,80,59473,6,264
1029,22,57604,19,3185
1030,57604,22,17,2267
1031,22,56752,19,3185
1032,56752,22,17,2267
1033,51497,22,6,329
1034,22,51497,13,7654
1035,51738,22,13,1863
1036,22,51738,14,2721
1037,52270,22,8,1353
1038,22,52270,12,5437
1039,40605,22,12,1908
1040,22,40605,14,2261
1041,31296,22,24,2900
1042,22,31296,26,3745
1043,17784,22,19,2365
1044,22,17784,21,3301
1045,22,38702,19,3185
1046,38702,22,18,2319
1047,22,34519,19,3185
1048,34519,22,18,2319
1049,35139,22,17,2267
1050,22,35139,20,3249
1051,54950,22,15,1697
1052,22,54950,13,2669
1053,16390,80,1,46
1054,80,16390,6,264
1055,37082,22,25,2976
1056,22,37082,28,3865
1057,59467,22,15,1739
1058,22,59467,14,2625
1059,2859,22,14,2889
1060,22,2859,18,2985
1061,14027,22,8,1075
1062,22,14027,8,2437
1063,23,45833,1,40
1064,45833,23,1,46
1065,22,22772,6,264
1066,22772,22,1,46
1067,18493,22,4,225
1068,22,18493,10,7647
1069,43140,123,1,46
1070,0,3,1,64
1071,18816,23,1,46
1072,23,18816,1,40
1073,40026,80,1,46
1074,80,40026,6,264
1075,22,55069,19,3185
1076,55069,22,15,2163
1077,22,59168,19,3185
1078,59168,22,17,2267
1079,0,8,1,46
1080,0,0,1,32
1081,59504,22,12,1808
1082,22,59504,13,2185
1083,22,3477,18,2985
1084,3477,22,13,2843
1085,63033,2323,1,46
1086,2323,63033,1,40
1087,6074,22,26,3035
1088,22,6074,28,3873
1089,27112,2323,1,46
1090,2323,27112,1,40
1091,34550,22,4,210
1092,22,34550,6,496
1093,22,9564,5,1285
1094,9564,22,6,340
1095,22,5618,26,3745
1096,5618,22,24,2953
1097,22,57419,27,3865
1098,57419,22,24,2899
1099,54923,23,1,46
1100,23,54923,1,40
1101,2428,22,16,3167
1102,22,2428,24,3449
1103,29870,22,24,2900
1104,22,29870,26,3745
1105,63196,23,1,46
1106,23,63196,1,40
1107,22897,22,7,1029
1108,22,22897,9,4421
1109,22,43849,19,3185
1110,43849,22,15,2163
1111,53522,22,5,277
1112,22,53522,7,3423
1113,22,22118,26,3745
1114,22118,22,24,2883
1115,22,46954,19,3185
1116,46954,22,17,2267
1117,8000,60429,3,132
1118,60429,8000,5,314
1119,22,27468,5,1285
1120,27468,22,6,340
1121,80,412,1,46
1122,412,80,1,40
1123,22,52522,21,3398
1124,52522,22,18,2343
1125,56839,22,18,2415
1126,22,56839,26,3734
1127,11722,22,7,1307
1128,22,11722,17,9809
1129,49648,22,13,1609
1130,22,49648,13,2669
1131,22,47746,19,3185
1132,47746,22,20,2423
1133,42417,80,1,46
1134,80,42417,6,264
1135,22,60659,20,3249
1136,60659,22,17,2267
1137,22,13606,26,3745
1138,13606,22,24,2889
1139,22,28076,24,4886
1140,28076,22,18,2905
1141,22,47846,19,3185
1142,47846,22,15,2163
1143,22,63829,26,3745
1144,63829,22,24,2889
1145,22,33197,19,3185
1146,33197,22,17,2267
1147,22,52821,26,3745
1148,52821,22,24,2889
1149,43973,22,17,2267
1150,22,43973,19,3185
1151,7282,23,1,46
1152,23,7282,1,40
1153,56143,22,2,120
1154,22,56143,7,420
1155,22,53880,19,3185
1156,53880,22,17,2267
1157,22,55952,26,3745
1158,55952,22,26,3038
1159,52338,22,17,2267
1160,22,52338,19,3185
1161,5730,23,1,46
1162,23,5730,1,40
1163,41230,22,26,3022
1164,22,41230,26,3745
1165,40839,22,14,1936
1166,22,40839,19,2698
1167,23,22276,1,40
1168,22276,23,1,46
1169,28095,22,17,2273
1170,22,28095,21,4149
1171,48608,5397,1,46
1172,5397,48608,1,40
1173,36846,5358,1,46
1174,5358,36846,1,40
