,Unnamed: 0,Duration_Average ,Duration_Std,Duration_Var,Src Pt_Average,Src Pt_Std,Src Pt_Var,Dst Pt_Average,Dst Pt_Std,Dst Pt_Var,Packets_Average,Packets_Std,Packets_Var,Bytes_Average,Bytes_Std,Bytes_Var,class
32,0:00:16,20.7295,[36.62666491],[1341.51258275],15301.91667,[19621.80530243],[3.85015243e+08],15301.84583,[19621.80680191],[3.85015302e+08],12.25,[9.64040974],[92.9375],1642.875,[1431.16110532],[2048222.109375],suspicious
34,0:00:17,14.4508125,[30.48012472],[929.03800315],20278.125,[23880.71732297],[5.7028866e+08],20278.375,[23880.50507704],[5.70278523e+08],7.90625,[6.80697884],[46.33496094],1589.96875,[1898.43976209],[3604073.53027344],suspicious
36,0:00:18,5.412083333,[5.69414893],[32.42333208],16133.08333,[21736.85039841],[4.72490665e+08],15489.2625,[21956.66282972],[4.82095043e+08],9.75,[7.90701166],[62.52083333],1491.666667,[1316.40715797],[1732927.80555556],suspicious
38,0:00:19,14.28821429,[29.933754],[896.02962874],18404,[21623.86763014],[4.67591651e+08],18234.91429,[21710.49690207],[4.71345676e+08],11.25,[9.4098163],[88.54464286],1935.892857,[1999.04924436],[3996197.88137755],suspicious
40,0:00:20,14.16015385,[22.39113541],[501.36294475],21770.92308,[23497.34617982],[5.52125277e+08],21028.275,[23503.26474505],[5.52403454e+08],14.15384615,[9.00509389],[81.09171598],2242.557692,[1667.87897796],[2781820.28513314],suspicious
42,0:00:21,40.33688235,[48.04721923],[2308.53527587],22674.20588,[25002.53566762],[6.2512679e+08],22674.20588,[25002.53566762],[6.2512679e+08],13.76470588,[7.98549723],[63.76816609],2516.382353,[2243.17570336],[5031837.23615917],suspicious
44,0:00:22,10.90129412,[6.36280082],[40.48523433],19350.67647,[22704.24962906],[5.15482951e+08],19350.67647,[22704.24962906],[5.15482951e+08],17.58823529,[7.97096808],[63.53633218],2544.735294,[1149.30342865],[1320898.37110727],suspicious
46,0:00:23,20.162,[34.97790369],[1223.4537464],19436.55,[23493.46448371],[5.51942873e+08],19436.95,[23493.13361916],[5.51927327e+08],9.35,[9.39294948],[88.2275],1567.65,[2090.5139386],[4370248.5275],suspicious
48,0:00:24,15.08928571,[25.64226402],[657.52570392],22138.35714,[25286.71130194],[6.39417768e+08],22138.35714,[25286.71130194],[6.39417768e+08],13.78571429,[7.75068573],[60.07312925],2135.595238,[1397.32700709],[1952522.76473923],suspicious
50,0:00:25,21.759,[43.19500679],[1865.80861138],13750.80769,[16829.10539928],[2.83218789e+08],13747.24231,[16830.89746472],[2.83279109e+08],7.807692308,[7.51930454],[56.53994083],1375.153846,[1857.06339091],[3448684.43786982],suspicious
52,0:00:26,12.11285714,[11.43264867],[130.70545569],21040.92857,[22600.65896468],[5.10789786e+08],21040.92857,[22600.65896468],[5.10789786e+08],16,[6.45865975],[41.71428571],2662.785714,[1478.55842817],[2186135.0255102],suspicious
54,0:00:27,19.5938,[32.57983865],[1061.44588636],16992.2,[21995.82834448],[4.83816465e+08],14841.515,[21429.6181697],[4.59228535e+08],8.7,[6.89274981],[47.51],1650.7,[1850.52255052],[3424433.71],suspicious
56,0:00:28,9.141625,[8.78411711],[77.16071348],15264,[22236.03729169],[4.94441354e+08],15264.25,[22235.86572128],[4.94433724e+08],11.9375,[9.97790528],[99.55859375],1781.34375,[1537.6054356],[2364230.47558594],suspicious
58,0:00:29,15.45176923,[18.11586843],[328.18468879],19691.03846,[23764.5039073],[5.64751646e+08],19691.03846,[23764.5039073],[5.64751646e+08],14.53846154,[8.13459265],[66.17159763],2422.269231,[1934.28926637],[3741474.96597633],suspicious
60,0:00:30,14.5263,[8.45313905],[71.45555981],22161,[24893.69142373],[6.19695873e+08],22161,[24893.69142373],[6.19695873e+08],17.35,[8.14416969],[66.3275],2508.6,[1328.82569963],[1765777.74],suspicious
62,0:00:31,8.153777778,[7.07556037],[50.06355451],20566.83333,[23127.60803492],[5.34886253e+08],20566.83333,[23127.60803492],[5.34886253e+08],12.63888889,[9.2410701],[85.39737654],1857.972222,[1441.35074546],[2077491.97145062],suspicious
64,0:00:32,24.79835294,[33.03248381],[1091.14498646],17305.44118,[20228.27504232],[4.09183111e+08],16516.09706,[20232.26278742],[4.09344457e+08],13.70588235,[7.74417964],[59.97231834],2538.911765,[2147.06395104],[4609883.60986159],suspicious
66,0:00:33,8.988666667,[6.23613004],[38.88931789],16003.95833,[20881.77544032],[4.36048546e+08],16003.95833,[20881.77544032],[4.36048546e+08],13.16666667,[7.9982637],[63.97222222],2119.208333,[1384.46725552],[1916749.58159722],suspicious
68,0:00:34,13.43014286,[27.58464056],[760.91239469],18286.16667,[21889.69723182],[4.79158845e+08],17348.67381,[21747.58862496],[4.72957611e+08],11.76190476,[9.4536703],[89.37188209],1717.119048,[1525.71521406],[2327806.91439909],suspicious
70,0:00:35,30.714125,[47.66003583],[2271.47901486],16765.4375,[20070.39769309],[4.02820864e+08],17405.07188,[20885.27686608],[4.3619479e+08],10.625,[7.59831396],[57.734375],1836.21875,[1789.98531304],[3204047.42089844],suspicious
72,0:00:36,10.48594118,[13.28275065],[176.43146488],16624.20588,[19040.78990696],[3.6255168e+08],16624.20588,[19040.78990696],[3.6255168e+08],11.20588235,[8.20250827],[67.28114187],1847.029412,[1707.22855021],[2914629.32266436],suspicious
74,0:00:37,22.22872222,[35.9196939],[1290.22440987],18201.97222,[21864.01275369],[4.78035054e+08],18201.97222,[21864.01275369],[4.78035054e+08],14.13888889,[8.85736598],[78.4529321],1990.444444,[1383.29970731],[1913518.08024691],suspicious
76,0:00:38,31.47673684,[46.80769655],[2190.96045598],17729.13158,[22424.01170171],[5.02836301e+08],17729.13158,[22424.01170171],[5.02836301e+08],11.52631579,[8.81307892],[77.67036011],2107.842105,[2146.93354794],[4609323.65927978],suspicious
78,0:00:39,13.5418125,[28.47507701],[810.83001078],21313.8125,[23663.25712264],[5.59949738e+08],21313.8125,[23663.25712264],[5.59949738e+08],10.4375,[8.31015004],[69.05859375],1481.3125,[1321.10567891],[1745320.21484375],suspicious
80,0:00:40,8.1299375,[5.94725464],[35.36983781],23006.59375,[23412.54965806],[5.48147481e+08],23006.59375,[23412.54965806],[5.48147481e+08],11.78125,[8.30938616],[69.04589844],1849.3125,[1447.91163054],[2096448.08984375],suspicious
82,0:00:41,18.77128571,[26.74322817],[715.20025316],20908.54762,[21918.99315901],[4.80442261e+08],20908.54762,[21918.99315901],[4.80442261e+08],13.73809524,[8.69334591],[75.57426304],2253.428571,[1776.67556251],[3156576.05442177],suspicious
84,0:00:42,9.505714286,[7.61565389],[57.9981842],14893.42857,[19264.6290488],[3.71125932e+08],14893.15357,[19264.6631514],[3.71127246e+08],13.64285714,[9.94705371],[98.94387755],1887.714286,[1446.59787722],[2092645.41836735],suspicious
86,0:00:43,17.18863636,[12.78347709],[163.41728641],23577.72727,[24904.40807127],[6.20229541e+08],23577.72727,[24904.40807127],[6.20229541e+08],18.90909091,[5.90769214],[34.90082645],2930.363636,[1132.81979412],[1283280.68595041],suspicious
88,0:00:44,12.99857895,[26.41503353],[697.75399635],20014.81579,[23609.78026922],[5.57421724e+08],20014.81579,[23609.78026922],[5.57421724e+08],11.55263158,[8.65629484],[74.93144044],1690.894737,[1336.11886466],[1785213.62049862],suspicious
90,0:00:45,8.929473684,[11.54125864],[133.20065088],14899.57895,[19357.36230758],[3.74707476e+08],13860.79737,[18963.75796766],[3.59624116e+08],10,[9.01168832],[81.21052632],1662.447368,[1984.21635993],[3937114.56301939],suspicious
92,0:00:46,27.40591667,[38.07609416],[1449.78894674],19561.41667,[22927.73279589],[5.25680931e+08],19561.41667,[22927.73279589],[5.25680931e+08],11.41666667,[6.84298099],[46.82638889],2237.083333,[1878.47903716],[3528683.49305556],suspicious
94,0:00:47,39.36633333,[51.26411535],[2628.00952272],21369.95833,[22207.49160659],[4.93172683e+08],21369.95833,[22207.49160659],[4.93172683e+08],12.91666667,[5.42307313],[29.40972222],2690.458333,[2273.74716381],[5169926.16493056],suspicious
96,0:00:48,13.7899375,[28.6330388],[819.85091068],18301.125,[21136.13053333],[4.46736014e+08],18300.60313,[21136.43248727],[4.46748778e+08],11.53125,[8.67822121],[75.31152344],1739.3125,[1336.21752621],[1785477.27734375],suspicious
98,0:00:49,21.355375,[34.67476458],[1202.33929861],19663.40625,[22449.58692529],[5.03983953e+08],18655.54063,[22500.26643213],[5.0626199e+08],10.65625,[9.89194551],[97.85058594],1732.5,[1970.82458948],[3884149.5625],suspicious
100,0:00:50,15.75594444,[26.28233356],[690.76105739],18147.38889,[21537.02880735],[4.6384361e+08],18147.38889,[21537.02880735],[4.6384361e+08],14.72222222,[8.27852346],[68.53395062],2347.333333,[1723.89882727],[2971827.16666667],suspicious
102,0:00:51,9.809666667,[7.62315839],[58.11254382],20459,[23375.92906389],[5.4643406e+08],20459,[23375.92906389],[5.4643406e+08],14.83333333,[8.61039424],[74.13888889],2193.5,[1292.52989005],[1670633.51666667],suspicious
104,0:00:52,8.553363636,[6.9825106],[48.75545423],24471.13636,[25579.09838893],[6.54290274e+08],24471.13636,[25579.09838893],[6.54290274e+08],14.09090909,[8.87237332],[78.71900826],2040.818182,[1332.18711614],[1774722.51239669],suspicious
106,0:00:53,11.079,[7.2956622],[53.226687],17835.04167,[22506.345719],[5.06535598e+08],17835.375,[22506.08162589],[5.0652371e+08],16.5,[7.91622806],[62.66666667],2417.583333,[1189.34659641],[1414545.32638889],suspicious
108,0:00:54,15.58753333,[29.31422144],[859.32357838],19174.7,[26072.03024718],[6.79750761e+08],19175.23333,[26071.63808008],[6.79730312e+08],12.43333333,[8.4367582],[71.17888889],2097.4,[1935.16622197],[3744868.30666667],suspicious
110,0:00:55,26.97784615,[41.84639346],[1751.12064567],15501.88462,[20482.74162337],[4.19542704e+08],15501.88462,[20482.74162337],[4.19542704e+08],12.23076923,[8.80693648],[77.56213018],2033.884615,[1904.53396938],[3627249.64053254],suspicious
112,0:00:56,21.26517391,[34.16355645],[1167.14858927],18658.34783,[22388.16375387],[5.01229876e+08],17741.81087,[22263.17430492],[4.9564893e+08],12.06521739,[8.99855586],[80.97400756],1775.108696,[1572.01275341],[2471224.09688091],suspicious
114,0:00:57,16.39464286,[31.65937702],[1002.31615337],22941.78571,[22880.18322753],[5.23502785e+08],22941.78571,[22880.18322753],[5.23502785e+08],10.10714286,[9.9295349],[98.59566327],1434.571429,[1506.14158006],[2268462.45918367],suspicious
116,0:00:58,14.28638889,[10.62978709],[112.99237357],22220.52778,[23535.19531643],[5.53905419e+08],22220.52778,[23535.19531643],[5.53905419e+08],13.58333333,[8.67427551],[75.24305556],2269.027778,[1836.42848556],[3372469.58256173],suspicious
118,0:00:59,8.848555556,[6.61794434],[43.79718725],19983.72222,[23362.06048229],[5.4578587e+08],19983.72222,[23362.06048229],[5.4578587e+08],12.66666667,[8.90692614],[79.33333333],1970.277778,[1665.4873763],[2773848.20061728],suspicious
120,0:01:00,8.29145,[5.66162982],[32.05405225],21046.325,[23820.77046654],[5.67429106e+08],21046.325,[23820.77046654],[5.67429106e+08],14.25,[7.39509973],[54.6875],2140.6,[1223.36151239],[1496613.39],suspicious
122,0:01:01,18.7146,[28.85045835],[832.34894697],22158.53333,[23625.86139485],[5.58181327e+08],20640.74333,[23528.81476496],[5.53605124e+08],15.4,[9.9919968],[99.84],2334.033333,[1802.33769465],[3248421.16555555],suspicious
124,0:01:02,22.12923529,[36.96672183],[1366.53852253],22884.85294,[24035.81485315],[5.77720396e+08],22884.85294,[24035.81485315],[5.77720396e+08],12.88235294,[9.26652643],[85.86851211],2137.617647,[1790.46591069],[3205768.17733564],suspicious
126,0:01:03,15.43782143,[24.50960347],[600.72066222],21802.89286,[23968.04373959],[5.74467121e+08],21802.89286,[23968.04373959],[5.74467121e+08],12.78571429,[8.14536302],[66.34693878],2107.607143,[1742.83427495],[3037471.30994898],suspicious
128,0:01:04,16.86975,[34.057434],[1159.90881052],19574.375,[21736.95051407],[4.72495018e+08],19574.375,[21736.95051407],[4.72495018e+08],7.083333333,[5.95760485],[35.49305556],969.25,[1103.92365565],[1218647.4375],suspicious
130,0:01:05,10.51265517,[10.29252095],[105.93598761],20135.7931,[22519.30264183],[5.07118991e+08],17502.63103,[22219.47630217],[4.93705127e+08],11.5862069,[10.24027627],[104.86325803],1524.724138,[1480.64689722],[2192315.23424495],suspicious
132,0:01:06,11.5101,[22.43092032],[503.14618629],16514.525,[20378.49369309],[4.15283005e+08],15615.5325,[20290.28749953],[4.11695767e+08],10.4,[10.98362417],[120.64],1471.4,[1676.23844962],[2809775.34],suspicious
134,0:01:07,29.84613333,[46.49296917],[2161.59618198],19877.73333,[23631.45872481],[5.58445841e+08],19877.73333,[23631.45872481],[5.58445841e+08],7.733333333,[6.0714267],[36.86222222],1509.233333,[1933.27750523],[3737561.91222222],suspicious
136,0:01:08,18.749,[33.14150283],[1098.35920964],20597.68182,[23762.61012482],[5.6466164e+08],20596.78636,[23763.16317681],[5.64687924e+08],13.04545455,[8.5518593],[73.13429752],2025.136364,[1355.95375006],[1838610.57231405],suspicious
138,0:01:09,18.93469231,[30.58187184],[935.25088529],20455.73077,[23615.8220179],[5.5770705e+08],20455.73077,[23615.8220179],[5.5770705e+08],14.80769231,[9.60776621],[92.3091716],2182.461538,[1704.62554496],[2905748.24852071],suspicious
140,0:01:10,10.87576471,[12.30059305],[151.30458936],20469.67647,[23522.56665382],[5.53311142e+08],20469.67647,[23522.56665382],[5.53311142e+08],13.29411765,[7.20101877],[51.85467128],1986,[1217.61014721],[1482574.47058824],suspicious
142,0:01:11,14.71,[21.75688185],[473.361908],14348.54545,[19633.76924338],[3.85484895e+08],14348.54545,[19633.76924338],[3.85484895e+08],12.45454545,[9.1389639],[83.52066116],1996.272727,[1919.92277737],[3686103.47107438],suspicious
144,0:01:12,26.6744,[38.33941888],[1469.91103984],19400.53333,[21888.78007829],[4.79118693e+08],19400.53333,[21888.78007829],[4.79118693e+08],14.26666667,[6.86019112],[47.06222222],2265.033333,[1729.25601504],[2990326.36555556],suspicious
146,0:01:13,11.80111111,[12.73930329],[162.28984821],16585.19444,[22960.48509919],[5.27183876e+08],16586.14722,[22959.80043135],[5.27152436e+08],13.02777778,[10.1310472],[102.63811728],1923.972222,[1586.20109567],[2516033.91589506],suspicious
148,0:01:14,19.05114286,[30.976593],[959.54931412],19486.25,[23464.62324988],[5.50588544e+08],19486.25,[23464.62324988],[5.50588544e+08],10.60714286,[8.1343157],[66.16709184],1495.392857,[1333.33243468],[1777775.38137755],suspicious
150,0:01:15,7.944692308,[7.32822386],[53.70286498],18515.11538,[21201.68379439],[4.49511396e+08],18515.11538,[21201.68379439],[4.49511396e+08],11.88461538,[9.94340494],[98.87130178],1834.423077,[1724.64032311],[2974384.24408284],suspicious
152,0:01:16,32.034,[43.62412355],[1903.0641555],20233.41667,[24294.88241365],[5.90241311e+08],20233.41667,[24294.88241365],[5.90241311e+08],11.33333333,[8.40965054],[70.72222222],1933.5,[1924.02639881],[3701877.58333333],suspicious
154,0:01:17,11.82538462,[7.94813842],[63.17290439],18710.84615,[21468.4453912],[4.60894148e+08],18710.84615,[21468.4453912],[4.60894148e+08],17.53846154,[9.43084452],[88.9408284],2391.961538,[1361.6492116],[1854088.57544379],suspicious
156,0:01:18,16.5832,[28.77941458],[828.25470363],16795,[20992.72505893],[4.40694505e+08],16795,[20992.72505893],[4.40694505e+08],11.46666667,[8.84207115],[78.18222222],1990.766667,[1790.79819603],[3206958.17888889],suspicious
158,0:01:19,18.17895833,[32.59692537],[1062.55954371],21247.8125,[24313.99047673],[5.91170133e+08],21247.8125,[24313.99047673],[5.91170133e+08],9.791666667,[8.1495356],[66.41493056],1431.916667,[1415.57227581],[2003844.86805556],suspicious
160,0:01:20,14.42273684,[20.07275285],[402.91540704],18654,[22577.77774483],[5.09756048e+08],18654,[22577.77774483],[5.09756048e+08],13.21052632,[10.46336439],[109.48199446],2196.947368,[1915.51375474],[3669192.94459834],suspicious
162,0:01:21,15.62447059,[27.27305641],[743.81960601],22651.55882,[24930.36795131],[6.21523246e+08],22651.55882,[24930.36795131],[6.21523246e+08],12.82352941,[7.51261914],[56.43944637],1877.264706,[1235.61159681],[1526736.01816609],suspicious
164,0:01:22,9.689090909,[6.9773224],[48.6830279],19493.81818,[22986.05659295],[5.28358798e+08],19493.81818,[22986.05659295],[5.28358798e+08],15.31818182,[9.49347318],[90.12603306],2217.227273,[1463.98590194],[2143254.72107438],suspicious
166,0:01:23,9.632888889,[4.17101982],[17.39740632],17649.94444,[19395.01485053],[3.76166601e+08],17649.94444,[19395.01485053],[3.76166601e+08],16.55555556,[4.87877742],[23.80246914],2677.055556,[855.4171479],[731738.49691358],suspicious
168,0:01:24,26.42466667,[38.15265166],[1455.62482862],20736.3,[24962.86976845],[6.23144867e+08],20736.3,[24962.86976845],[6.23144867e+08],15.4,[9.50298199],[90.30666667],2577.4,[2134.42967558],[4555790.04],suspicious
170,0:01:25,14.7101875,[22.19607256],[492.6656369],21207.96875,[25258.18476193],[6.37975897e+08],21207.25938,[25258.61719266],[6.37997742e+08],11.3125,[8.3345572],[69.46484375],1880.21875,[1567.51219561],[2457094.48339844],suspicious
172,0:01:26,13.83163636,[19.66791882],[386.8270306],18914,[20980.69992983],[4.4018977e+08],20296.19545,[22172.30055256],[4.91610912e+08],12.77272727,[7.12187295],[50.72107438],2188.772727,[1661.1479309],[2759412.44834711],suspicious
174,0:01:27,25.90128571,[39.62923884],[1570.47657106],13912.21429,[17170.92507774],[2.94840668e+08],13912.21429,[17170.92507774],[2.94840668e+08],12.28571429,[8.71311468],[75.91836735],2044.5,[2288.8160617],[5238678.96428571],suspicious
176,0:01:28,0.0621875,[0.01142486],[0.00013053],26891.0625,[22351.89588706],[4.9960725e+08],26891.0625,[22351.89588706],[4.9960725e+08],6.5,[0.5],[0.25],589.75,[69.53551251],[4835.1875],normal
178,0:01:29,22.38971429,[45.92584144],[2109.18291173],17727.69048,[21296.99181585],[4.5356186e+08],17727.69048,[21296.99181585],[4.5356186e+08],12.28571429,[9.1268461],[83.29931973],1989.52381,[1834.94679095],[3367029.72562358],suspicious
180,0:01:30,22.8846875,[37.30665751],[1391.78669471],20140.6875,[22950.95902468],[5.2674652e+08],20140.6875,[22950.95902468],[5.2674652e+08],12.125,[7.91260861],[62.609375],2311.40625,[2118.46118768],[4487877.80371094],suspicious
182,0:01:31,16.91376471,[25.22063568],[636.08046406],20567.05882,[22539.34001845],[5.08021848e+08],20567.05882,[22539.34001845],[5.08021848e+08],11.82352941,[8.00907789],[64.14532872],2304,[2231.95863603],[4981639.35294118],suspicious
184,0:01:32,16.69428571,[29.74122407],[884.5404092],20000.85714,[23358.37219548],[5.45613552e+08],20000.85714,[23358.37219548],[5.45613552e+08],12.53571429,[8.42819309],[71.03443878],2103.178571,[1839.57875717],[3384050.00382653],suspicious
186,0:01:33,8.5495625,[6.57952876],[43.29019875],16819.5625,[21250.50572624],[4.51583994e+08],16819.5625,[21250.50572624],[4.51583994e+08],13.09375,[8.91753671],[79.52246094],1985.90625,[1498.54632393],[2245641.08496094],suspicious
188,0:01:34,29.571,[39.32378532],[1546.36009165],20822.20588,[23471.61234816],[5.50916586e+08],19562.21471,[23384.48826121],[5.46834291e+08],9.882352941,[9.00249869],[81.0449827],1682.617647,[1862.36497362],[3468403.2949827],suspicious
190,0:01:35,21.28977778,[35.66515554],[1272.00331995],23291.16667,[25743.56995068],[6.62731394e+08],23291.16667,[25743.56995068],[6.62731394e+08],13.38888889,[9.11737589],[83.12654321],2322.222222,[1946.98300956],[3790742.83950617],suspicious
192,0:01:36,7.081666667,[7.53361249],[56.75531711],18131.27778,[22733.25614553],[5.16800935e+08],18131.46111,[22733.10993715],[5.16794287e+08],10.38888889,[9.0008573],[81.0154321],1474,[1352.01027281],[1827931.77777778],suspicious
194,0:01:37,8.978,[8.39937933],[70.54957309],20251.72727,[22834.09423763],[5.2139586e+08],20251.72727,[22834.09423763],[5.2139586e+08],13.54545455,[10.60757565],[112.52066116],1972.863636,[1676.24871488],[2809809.75413223],suspicious
196,0:01:38,20.75335294,[31.14439495],[969.97333658],19554.35294,[23596.15970609],[5.56778753e+08],20028.72353,[24420.89778447],[5.96380249e+08],13.52941176,[11.21510351],[125.77854671],1868.617647,[1606.56313866],[2581045.11851211],suspicious
198,0:01:39,14.24836842,[27.23248266],[741.60811171],19751.63158,[22968.17555298],[5.27537088e+08],16656.99737,[21309.8530658],[4.54109838e+08],11.15789474,[9.46607882],[89.6066482],1727.131579,[1510.10200372],[2280408.06163435],suspicious
200,0:01:40,0.124714286,[0.29562478],[0.08739401],32743.70849,[24945.70318554],[6.22288107e+08],32743.70849,[24945.70318554],[6.22288107e+08],6.474903475,[0.55258911],[0.30535472],706.2249035,[357.0913608],[127514.23995897],normal
202,0:01:41,2.978462243,[19.39194386],[376.04748671],32703.10526,[24938.03466692],[6.21905573e+08],32703.10526,[24938.03466692],[6.21905573e+08],6.421052632,[0.7167916],[0.5137902],579.0377574,[85.24463218],[7266.64731579],normal
204,0:01:42,0.058931298,[0.01045141],[0.00010923],32723.58206,[24951.95219907],[6.22599919e+08],32723.58206,[24951.95219907],[6.22599919e+08],6.461832061,[0.56998165],[0.32487909],811.0171756,[426.02878815],[181500.52833095],normal
206,0:01:43,0.054523077,[0.00857744],[7.35725444e-05],32404.68462,[24606.46706771],[6.05478222e+08],32404.68462,[24606.46706771],[6.05478222e+08],6.484615385,[0.52965323],[0.28053254],755.3153846,[364.40581847],[132791.60053254],normal
208,0:01:44,17.5522,[29.16914346],[850.83893016],15685.86667,[20925.24782766],[4.37865997e+08],15685.86667,[20925.24782766],[4.37865997e+08],14.33333333,[8.295916],[68.82222222],2207.666667,[1505.90482951],[2267749.35555556],suspicious
210,0:01:45,14.62,[29.48074786],[869.11449456],19326.97222,[21957.52936477],[4.82133096e+08],19326.39722,[21957.88148087],[4.82148559e+08],10.5,[9.44133936],[89.13888889],1584.555556,[1473.67462948],[2171716.91358025],suspicious
212,0:01:46,12.626,[34.57319565],[1195.30585764],15507.18182,[18781.18616555],[3.52732954e+08],15507.18182,[18781.18616555],[3.52732954e+08],4.681818182,[5.48871871],[30.12603306],731.3181818,[1124.30893467],[1264070.58057851],suspicious
214,0:01:47,14.5438125,[28.47973795],[811.09547353],19718.875,[22527.12779316],[5.07471487e+08],19718.875,[22527.12779316],[5.07471487e+08],11.5,[9.32737905],[87.],1861,[1732.67490098],[3002162.3125],suspicious
216,0:01:48,12.235125,[28.62750062],[819.53379198],18965.5625,[24313.35179862],[5.91139076e+08],18965.5625,[24313.35179862],[5.91139076e+08],7.84375,[7.73833548],[59.88183594],1260.3125,[1539.18144718],[2369079.52734375],suspicious
218,0:01:49,17.9918125,[28.8157491],[830.3473964],18957,[22458.23124436],[5.04372151e+08],18957,[22458.23124436],[5.04372151e+08],13.3125,[8.61480376],[74.21484375],2215.6875,[1902.03078047],[3617721.08984375],suspicious
220,0:01:50,20.20775,[31.46671298],[990.15402602],20610.66667,[23584.24867482],[5.56216786e+08],20610.66667,[23584.24867482],[5.56216786e+08],12.375,[7.93626959],[62.984375],2321.541667,[1996.94479099],[3987788.49826389],suspicious
222,0:01:51,7.601083333,[7.33446453],[53.79436991],17356.83333,[21045.26335003],[4.42903109e+08],17356.83333,[21045.26335003],[4.42903109e+08],12,[9.59600611],[92.08333333],1710.416667,[1472.86726933],[2169337.99305556],suspicious
